epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,29912,0.85247,0.8942,0.98393,0.8675,0.65316,0.74592,0.60228,0.80955,0.80185,0.9662,0.00703,0.00703,0.00703
62,30413.2,0.86398,0.90608,0.98049,0.81021,0.67327,0.73621,0.59319,0.81115,0.78496,0.96856,0.0069805,0.0069805,0.0069805
63,30964.1,0.85412,0.87916,0.97803,0.85589,0.64586,0.73268,0.5882,0.81158,0.77542,0.97062,0.006931,0.006931,0.006931
64,31458.7,0.85263,0.86903,0.97896,0.84829,0.67034,0.74554,0.59947,0.79811,0.77822,0.96948,0.0068815,0.0068815,0.0068815
65,31929.7,0.85159,0.87603,0.97408,0.90368,0.65589,0.77471,0.61193,0.79066,0.74992,0.96163,0.006832,0.006832,0.006832
66,32424.1,0.84769,0.87031,0.97286,0.89227,0.6653,0.74387,0.59982,0.79477,0.74674,0.96059,0.0067825,0.0067825,0.0067825
67,32970.1,0.83927,0.85323,0.97219,0.87433,0.68969,0.76023,0.61276,0.79131,0.71051,0.96167,0.006733,0.006733,0.006733
68,33437.6,0.84129,0.84253,0.97894,0.88594,0.66895,0.75392,0.60546,0.79348,0.73204,0.96335,0.0066835,0.0066835,0.0066835
69,33947,0.84822,0.84951,0.97282,0.87022,0.67435,0.78273,0.62229,0.78552,0.71908,0.96126,0.006634,0.006634,0.006634
70,34441.9,0.84307,0.84819,0.97207,0.87669,0.67931,0.78571,0.63171,0.79102,0.75219,0.96228,0.0065845,0.0065845,0.0065845
71,34933.6,0.83658,0.83898,0.97204,0.89069,0.68047,0.75528,0.61105,0.79449,0.73264,0.96141,0.006535,0.006535,0.006535
72,35433.5,0.84714,0.83764,0.97575,0.88935,0.69119,0.78256,0.63029,0.7946,0.70024,0.96309,0.0064855,0.0064855,0.0064855
73,35926,0.83463,0.82086,0.97731,0.86709,0.6738,0.77177,0.62346,0.79247,0.71246,0.9608,0.006436,0.006436,0.006436
74,36430.9,0.84373,0.82611,0.97499,0.87957,0.69357,0.77516,0.62243,0.79182,0.70455,0.96213,0.0063865,0.0063865,0.0063865
75,36921.5,0.82518,0.81276,0.96597,0.86513,0.69885,0.77802,0.63072,0.78639,0.70141,0.95737,0.006337,0.006337,0.006337
76,37414.6,0.82724,0.79626,0.97127,0.8832,0.69837,0.77117,0.62662,0.78072,0.71153,0.95449,0.0062875,0.0062875,0.0062875
77,37884.1,0.83316,0.79738,0.97156,0.84689,0.6931,0.77165,0.62554,0.78664,0.70208,0.95577,0.006238,0.006238,0.006238
78,38401.7,0.82826,0.79242,0.97159,0.83978,0.71171,0.76616,0.62375,0.78505,0.69663,0.95475,0.0061885,0.0061885,0.0061885
79,38895.8,0.82116,0.77216,0.96436,0.9069,0.68907,0.78077,0.63514,0.77801,0.67378,0.95341,0.006139,0.006139,0.006139
80,39402.6,0.81667,0.76812,0.95931,0.90915,0.68146,0.80373,0.64622,0.77732,0.67278,0.95295,0.0060895,0.0060895,0.0060895
81,39898.9,0.8236,0.77654,0.96347,0.84352,0.71489,0.7808,0.6299,0.7727,0.67063,0.95126,0.00604,0.00604,0.00604
82,40386.7,0.81502,0.76252,0.96412,0.87136,0.70965,0.7992,0.64208,0.7743,0.66729,0.95026,0.0059905,0.0059905,0.0059905
83,40899.1,0.81584,0.77401,0.96452,0.88788,0.71536,0.80417,0.64494,0.77501,0.66962,0.95252,0.005941,0.005941,0.005941
84,41387,0.81416,0.76248,0.96293,0.88409,0.71102,0.79659,0.64336,0.77312,0.65201,0.9504,0.0058915,0.0058915,0.0058915
85,41846.3,0.81137,0.75985,0.96007,0.90037,0.70922,0.80273,0.64539,0.771,0.66921,0.95034,0.005842,0.005842,0.005842
86,42304.9,0.80827,0.75359,0.95784,0.87134,0.72478,0.79788,0.64338,0.77237,0.66337,0.94773,0.0057925,0.0057925,0.0057925
87,42813.2,0.80695,0.74179,0.95983,0.87528,0.71481,0.79457,0.6447,0.76927,0.6537,0.95084,0.005743,0.005743,0.005743
88,43310.5,0.8056,0.73802,0.96184,0.89819,0.70479,0.81284,0.65196,0.76684,0.64621,0.94809,0.0056935,0.0056935,0.0056935
89,43777.6,0.80175,0.73081,0.9581,0.89669,0.69713,0.79742,0.64009,0.76036,0.65546,0.94859,0.005644,0.005644,0.005644
90,44249.5,0.80132,0.73962,0.95536,0.88446,0.70899,0.79975,0.64814,0.76076,0.64332,0.94813,0.0055945,0.0055945,0.0055945
91,44718,0.80207,0.73682,0.96145,0.88829,0.70915,0.81078,0.64705,0.75844,0.6414,0.94521,0.005545,0.005545,0.005545
92,45196.3,0.79944,0.72704,0.96036,0.88437,0.70592,0.80749,0.65148,0.75848,0.64229,0.94611,0.0054955,0.0054955,0.0054955
93,45652.7,0.79605,0.71357,0.95813,0.91228,0.70632,0.80908,0.65274,0.76263,0.63973,0.94588,0.005446,0.005446,0.005446
94,46120.5,0.79361,0.70394,0.95291,0.88674,0.72349,0.81012,0.6557,0.7644,0.65328,0.94597,0.0053965,0.0053965,0.0053965
95,46612.3,0.79645,0.71608,0.95898,0.91954,0.70664,0.80205,0.65468,0.76306,0.64173,0.94653,0.005347,0.005347,0.005347
96,47107.4,0.79211,0.70415,0.95505,0.87331,0.724,0.80126,0.65364,0.76146,0.62893,0.94566,0.0052975,0.0052975,0.0052975
97,47568.8,0.78882,0.70074,0.95564,0.88185,0.71896,0.81815,0.65402,0.76123,0.62996,0.94428,0.005248,0.005248,0.005248
98,48048.2,0.7872,0.68355,0.95867,0.86856,0.74901,0.82265,0.65686,0.75925,0.62345,0.94489,0.0051985,0.0051985,0.0051985
99,48493.8,0.79617,0.69728,0.96008,0.86625,0.74383,0.82198,0.66354,0.75603,0.61252,0.94416,0.005149,0.005149,0.005149
100,48988,0.79263,0.69186,0.95512,0.89068,0.73116,0.82081,0.65997,0.75419,0.62428,0.94475,0.0050995,0.0050995,0.0050995
101,49465.2,0.7923,0.688,0.95504,0.9005,0.73764,0.80929,0.65582,0.75573,0.6083,0.9445,0.00505,0.00505,0.00505
102,49952,0.7861,0.67989,0.95751,0.89746,0.73567,0.80641,0.6524,0.75781,0.62472,0.94313,0.0050005,0.0050005,0.0050005
103,50420.2,0.78169,0.66905,0.95361,0.90149,0.73706,0.82344,0.66007,0.75799,0.61892,0.9429,0.004951,0.004951,0.004951
104,50877.2,0.7792,0.66301,0.95125,0.8986,0.72569,0.82151,0.66635,0.75544,0.61761,0.94275,0.0049015,0.0049015,0.0049015
105,51313.4,0.77605,0.6673,0.95554,0.89862,0.72324,0.82494,0.66666,0.75498,0.6088,0.94345,0.004852,0.004852,0.004852
106,51783.5,0.78892,0.671,0.95125,0.90881,0.72738,0.82977,0.66858,0.7548,0.6111,0.94324,0.0048025,0.0048025,0.0048025
107,52274.6,0.77775,0.66829,0.94789,0.91401,0.7195,0.82436,0.667,0.75528,0.61828,0.94242,0.004753,0.004753,0.004753
108,52767.4,0.78151,0.67211,0.95743,0.85237,0.74601,0.82368,0.66417,0.75283,0.61792,0.94127,0.0047035,0.0047035,0.0047035
109,53266.6,0.78265,0.65271,0.94582,0.86763,0.75346,0.8129,0.66133,0.75049,0.61613,0.94031,0.004654,0.004654,0.004654
110,53754.3,0.77637,0.65443,0.94694,0.88973,0.74474,0.82612,0.67015,0.75376,0.6083,0.93968,0.0046045,0.0046045,0.0046045
111,54255.3,0.77523,0.64877,0.95158,0.88291,0.75121,0.82504,0.66407,0.7517,0.60213,0.93892,0.004555,0.004555,0.004555
112,54753.1,0.76952,0.63453,0.94561,0.90743,0.74378,0.82505,0.67025,0.74925,0.60076,0.93853,0.0045055,0.0045055,0.0045055
113,55251.2,0.76947,0.63996,0.9501,0.90654,0.74341,0.82697,0.67046,0.74809,0.5941,0.93826,0.004456,0.004456,0.004456
114,55748.5,0.77106,0.64613,0.94434,0.93066,0.72655,0.82819,0.6673,0.74805,0.59286,0.93864,0.0044065,0.0044065,0.0044065
115,56234.6,0.77015,0.63892,0.94423,0.91716,0.73436,0.82774,0.66661,0.74957,0.58763,0.93954,0.004357,0.004357,0.004357
116,56682.5,0.76353,0.62475,0.94705,0.92597,0.73028,0.82845,0.66767,0.74638,0.58174,0.93865,0.0043075,0.0043075,0.0043075
117,57156,0.76894,0.61971,0.94359,0.9341,0.7266,0.82714,0.66866,0.74561,0.58542,0.93798,0.004258,0.004258,0.004258
118,57604.2,0.76406,0.61855,0.9451,0.92639,0.73135,0.82623,0.66687,0.74686,0.59017,0.93791,0.0042085,0.0042085,0.0042085
119,58086.7,0.75903,0.61252,0.94284,0.91874,0.73513,0.82873,0.66788,0.74603,0.59042,0.93733,0.004159,0.004159,0.004159
120,58605,0.75717,0.61811,0.94283,0.92164,0.7318,0.82775,0.66812,0.74712,0.58935,0.93733,0.0041095,0.0041095,0.0041095
121,59088.1,0.75214,0.60999,0.9384,0.92116,0.73213,0.82928,0.67264,0.74605,0.58485,0.93699,0.00406,0.00406,0.00406
122,59577.7,0.75934,0.60487,0.94032,0.92126,0.73085,0.83331,0.67454,0.74591,0.58472,0.93685,0.0040105,0.0040105,0.0040105
123,60065.2,0.76081,0.61431,0.9394,0.92815,0.72574,0.8344,0.67275,0.74629,0.5845,0.93704,0.003961,0.003961,0.003961
124,60566.7,0.75131,0.60014,0.93725,0.924,0.73191,0.83577,0.67238,0.74638,0.57872,0.93733,0.0039115,0.0039115,0.0039115
125,61050.8,0.75572,0.60194,0.93834,0.92143,0.73351,0.83594,0.67408,0.7465,0.57378,0.93724,0.003862,0.003862,0.003862
126,61553.7,0.74948,0.59593,0.9455,0.91823,0.73157,0.83671,0.67255,0.7464,0.57376,0.9374,0.0038125,0.0038125,0.0038125
127,62041.8,0.75293,0.60418,0.94197,0.9175,0.73392,0.83554,0.67183,0.74754,0.57845,0.93807,0.003763,0.003763,0.003763
128,62550,0.74932,0.5868,0.93838,0.91953,0.73746,0.83407,0.6727,0.74863,0.57693,0.93783,0.0037135,0.0037135,0.0037135
129,63040.8,0.739,0.57882,0.93272,0.91871,0.73514,0.83372,0.67517,0.74779,0.57622,0.9377,0.003664,0.003664,0.003664
130,63546.4,0.75039,0.57845,0.93853,0.92226,0.73138,0.83387,0.67488,0.74581,0.57478,0.93688,0.0036145,0.0036145,0.0036145
131,64056.7,0.75037,0.59049,0.93408,0.92345,0.73212,0.83606,0.67534,0.7438,0.5705,0.93639,0.003565,0.003565,0.003565
132,64587,0.7428,0.58061,0.93312,0.91856,0.73349,0.83431,0.67783,0.74286,0.56952,0.93567,0.0035155,0.0035155,0.0035155
133,65104.8,0.73383,0.57033,0.93387,0.91484,0.73514,0.83363,0.67836,0.74334,0.56873,0.93517,0.003466,0.003466,0.003466
134,65636.1,0.73928,0.57031,0.93758,0.89355,0.73797,0.83417,0.67558,0.74278,0.56648,0.93473,0.0034165,0.0034165,0.0034165
135,66165.5,0.73694,0.57291,0.93201,0.913,0.73785,0.83422,0.67509,0.74307,0.56805,0.93447,0.003367,0.003367,0.003367
136,66694.3,0.74331,0.57538,0.93585,0.91482,0.73852,0.83301,0.67321,0.74294,0.5677,0.93459,0.0033175,0.0033175,0.0033175
137,67198.1,0.72776,0.56362,0.93188,0.91446,0.73916,0.83563,0.67393,0.7418,0.56807,0.9341,0.003268,0.003268,0.003268
138,67715.5,0.73656,0.56845,0.9319,0.91172,0.73799,0.83591,0.67318,0.74042,0.5654,0.93347,0.0032185,0.0032185,0.0032185
139,68239.2,0.73376,0.56899,0.92977,0.91478,0.74013,0.81533,0.67193,0.73855,0.56408,0.93304,0.003169,0.003169,0.003169
140,68745.1,0.72419,0.561,0.93081,0.91305,0.74208,0.81723,0.67357,0.7379,0.56526,0.93292,0.0031195,0.0031195,0.0031195
141,69253,0.73519,0.55748,0.93075,0.91324,0.74324,0.81816,0.6751,0.73706,0.56709,0.93258,0.00307,0.00307,0.00307
142,69785.1,0.734,0.55387,0.93238,0.91352,0.74301,0.81838,0.67447,0.73756,0.56845,0.93272,0.0030205,0.0030205,0.0030205
143,70308.4,0.72832,0.54931,0.92966,0.91657,0.73855,0.81861,0.67387,0.73945,0.57043,0.93295,0.002971,0.002971,0.002971
144,70806,0.72993,0.55211,0.93149,0.91856,0.73826,0.81912,0.67353,0.74128,0.57162,0.93294,0.0029215,0.0029215,0.0029215
145,71314.1,0.73181,0.55123,0.93065,0.91844,0.74039,0.82254,0.67622,0.74183,0.56932,0.93307,0.002872,0.002872,0.002872
146,71818.9,0.71687,0.54368,0.9276,0.9171,0.74393,0.82387,0.67617,0.74153,0.56892,0.93268,0.0028225,0.0028225,0.0028225
147,72354.6,0.72672,0.53416,0.92799,0.91565,0.74483,0.82371,0.67665,0.74037,0.56757,0.93214,0.002773,0.002773,0.002773
148,72872.2,0.72417,0.53448,0.92684,0.91473,0.74467,0.82924,0.67939,0.74159,0.56802,0.93225,0.0027235,0.0027235,0.0027235
149,73388.8,0.7209,0.53342,0.9251,0.91572,0.74459,0.82918,0.67997,0.74089,0.56654,0.93209,0.002674,0.002674,0.002674
150,73886.5,0.71786,0.53811,0.92372,0.91341,0.7478,0.82966,0.68131,0.74036,0.56553,0.93215,0.0026245,0.0026245,0.0026245
151,74395,0.71546,0.52823,0.92316,0.91524,0.74339,0.8294,0.68088,0.73829,0.5643,0.93199,0.002575,0.002575,0.002575
152,74957.9,0.72322,0.53319,0.92887,0.91275,0.74387,0.82953,0.68172,0.73772,0.56287,0.93171,0.0025255,0.0025255,0.0025255
153,75522.9,0.71528,0.52674,0.92461,0.90982,0.7446,0.8286,0.68107,0.73755,0.56038,0.93154,0.002476,0.002476,0.002476
154,76062.5,0.71026,0.52011,0.92464,0.91147,0.74457,0.8287,0.68125,0.73654,0.55807,0.93143,0.0024265,0.0024265,0.0024265
155,76547.9,0.71465,0.52242,0.92427,0.91425,0.74352,0.82979,0.68257,0.7364,0.56019,0.93137,0.002377,0.002377,0.002377
156,77014,0.70746,0.51833,0.92481,0.91703,0.74275,0.82917,0.68212,0.73663,0.55917,0.93125,0.0023275,0.0023275,0.0023275
157,77476,0.7059,0.51296,0.92044,0.91829,0.7427,0.83028,0.68308,0.7366,0.55885,0.93127,0.002278,0.002278,0.002278
158,77957.9,0.71311,0.50989,0.92859,0.91402,0.74486,0.8319,0.68427,0.73574,0.55881,0.93127,0.0022285,0.0022285,0.0022285
159,78439.5,0.70952,0.51974,0.92299,0.91283,0.74563,0.8321,0.68411,0.73502,0.55583,0.93095,0.002179,0.002179,0.002179
160,78997.3,0.7078,0.51716,0.92486,0.91065,0.74804,0.83253,0.68537,0.7356,0.55496,0.93113,0.0021295,0.0021295,0.0021295
161,79492.4,0.70369,0.50685,0.92532,0.91169,0.74833,0.83257,0.68622,0.73516,0.55355,0.93106,0.00208,0.00208,0.00208
162,79956.4,0.69998,0.50374,0.9257,0.91204,0.74822,0.85257,0.68739,0.73523,0.55312,0.93112,0.0020305,0.0020305,0.0020305
163,80458.7,0.70093,0.50182,0.92376,0.91171,0.74827,0.85313,0.68789,0.73511,0.55225,0.93105,0.001981,0.001981,0.001981
164,80940.1,0.702,0.49801,0.91964,0.9113,0.74807,0.85524,0.68853,0.73484,0.5525,0.9308,0.0019315,0.0019315,0.0019315
165,81419.8,0.69879,0.48854,0.92308,0.91035,0.74925,0.85557,0.68844,0.73459,0.55334,0.93069,0.001882,0.001882,0.001882
166,81935.1,0.69974,0.49921,0.91994,0.91009,0.75068,0.85706,0.69048,0.73489,0.55269,0.93071,0.0018325,0.0018325,0.0018325
167,82454.4,0.70214,0.48787,0.91942,0.91,0.75132,0.85707,0.69005,0.73477,0.55297,0.93055,0.001783,0.001783,0.001783
168,82890.9,0.68807,0.49565,0.91571,0.90936,0.75147,0.85762,0.69031,0.7348,0.55273,0.93053,0.0017335,0.0017335,0.0017335
169,83363,0.68954,0.48014,0.91525,0.90734,0.75195,0.85789,0.69083,0.7338,0.55173,0.9304,0.001684,0.001684,0.001684
170,83825.8,0.69259,0.48725,0.91613,0.90581,0.75146,0.85826,0.69157,0.73503,0.55347,0.93044,0.0016345,0.0016345,0.0016345
171,84295.9,0.68677,0.48054,0.91473,0.89064,0.76203,0.85819,0.69128,0.73446,0.55314,0.93055,0.001585,0.001585,0.001585
172,84764.6,0.69348,0.48636,0.91579,0.89021,0.76282,0.85824,0.69128,0.7339,0.55297,0.93048,0.0015355,0.0015355,0.0015355
173,85220.3,0.69053,0.47371,0.91855,0.82726,0.81327,0.8585,0.69187,0.73394,0.55336,0.93038,0.001486,0.001486,0.001486
174,85672.9,0.68428,0.47383,0.91146,0.8344,0.81119,0.85847,0.69177,0.73373,0.55451,0.93033,0.0014365,0.0014365,0.0014365
175,86225,0.68008,0.47318,0.90972,0.84137,0.80205,0.85814,0.69233,0.7332,0.55419,0.93022,0.001387,0.001387,0.001387
176,86763.9,0.68104,0.47392,0.91531,0.84619,0.80068,0.85655,0.69224,0.73292,0.55521,0.93034,0.0013375,0.0013375,0.0013375
177,87315.3,0.67508,0.4672,0.90948,0.85066,0.79288,0.85685,0.69116,0.73336,0.55321,0.93044,0.001288,0.001288,0.001288
178,87868,0.67422,0.4656,0.91747,0.8558,0.7916,0.85706,0.69147,0.73335,0.55416,0.93049,0.0012385,0.0012385,0.0012385
179,88439.4,0.67664,0.47275,0.91436,0.86533,0.78909,0.8574,0.69181,0.73368,0.55377,0.93045,0.001189,0.001189,0.001189
180,88989.4,0.67008,0.45707,0.91122,0.86773,0.7903,0.85754,0.69229,0.73367,0.55389,0.93043,0.0011395,0.0011395,0.0011395
181,89479.3,0.67123,0.46176,0.90855,0.86996,0.78877,0.85714,0.69144,0.73425,0.5549,0.9306,0.00109,0.00109,0.00109
182,89988.2,0.67881,0.46571,0.916,0.87134,0.78935,0.85608,0.69049,0.73488,0.55598,0.93067,0.0010405,0.0010405,0.0010405
183,90474.3,0.67897,0.45823,0.9127,0.87608,0.78848,0.85864,0.69189,0.73424,0.55499,0.93066,0.000991,0.000991,0.000991
184,90982.2,0.66745,0.45713,0.90718,0.87655,0.78685,0.8576,0.6917,0.73455,0.55559,0.93067,0.0009415,0.0009415,0.0009415
185,91467.7,0.67026,0.45641,0.91059,0.88036,0.78715,0.85892,0.69286,0.73434,0.55571,0.93066,0.000892,0.000892,0.000892
186,91940.8,0.67295,0.46408,0.91086,0.8812,0.78668,0.85738,0.69105,0.73451,0.55628,0.93075,0.0008425,0.0008425,0.0008425
