epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,25615.5,0.91693,0.98508,1.00964,0.81624,0.62867,0.71691,0.56669,0.85265,0.83154,0.97767,0.0089506,0.0089506,0.0089506
55,26094.5,0.91498,0.98979,1.00477,0.83582,0.63667,0.70752,0.56734,0.84985,0.82983,0.97657,0.0089308,0.0089308,0.0089308
56,26592.3,0.9042,0.9592,0.9897,0.80642,0.65597,0.70192,0.55317,0.85861,0.81719,0.98123,0.008911,0.008911,0.008911
57,27070.3,0.90865,0.99249,0.9966,0.81843,0.6478,0.72682,0.56303,0.85348,0.78561,0.97506,0.0088912,0.0088912,0.0088912
58,27550.7,0.90447,0.98213,1.00001,0.84778,0.612,0.7413,0.57833,0.83472,0.80912,0.97091,0.0088714,0.0088714,0.0088714
59,28048.8,0.9035,0.97108,1.00257,0.8194,0.63568,0.74564,0.58454,0.83369,0.81749,0.97108,0.0088516,0.0088516,0.0088516
60,28616.7,0.89899,0.95375,0.99174,0.82781,0.64622,0.73302,0.57889,0.84374,0.8226,0.97074,0.0088318,0.0088318,0.0088318
61,29140.5,0.88389,0.93699,0.99477,0.8344,0.64687,0.73171,0.58311,0.85044,0.78823,0.97195,0.008812,0.008812,0.008812
62,29685.7,0.9039,0.94235,0.99296,0.85612,0.64194,0.72447,0.57468,0.84261,0.76713,0.97279,0.0087922,0.0087922,0.0087922
63,30223.8,0.89133,0.92124,0.98904,0.85116,0.64949,0.75254,0.60293,0.83448,0.76622,0.96706,0.0087724,0.0087724,0.0087724
64,30749,0.89204,0.90413,0.98872,0.82477,0.69533,0.74973,0.5966,0.82432,0.74676,0.96479,0.0087526,0.0087526,0.0087526
65,31264.6,0.89221,0.90626,0.986,0.79402,0.69293,0.74422,0.5928,0.82697,0.78995,0.96674,0.0087328,0.0087328,0.0087328
