epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,10032,0.73485,0.55459,0.86216,0.81986,0.80925,0.83324,0.67886,0.76804,0.73585,0.86332,5.82576e-05,5.82576e-05,5.82576e-05
66,10185.9,0.73701,0.55957,0.8612,0.89718,0.7619,0.83968,0.68364,0.77206,0.71267,0.86342,5.66835e-05,5.66835e-05,5.66835e-05
67,10339.8,0.72782,0.55505,0.86254,0.82742,0.80332,0.84291,0.68404,0.76761,0.72137,0.86241,5.51094e-05,5.51094e-05,5.51094e-05
68,10494.1,0.73411,0.55193,0.86606,0.88847,0.78815,0.8511,0.68961,0.76636,0.71732,0.86224,5.35353e-05,5.35353e-05,5.35353e-05
69,10648.3,0.73484,0.54956,0.86489,0.89108,0.77685,0.83278,0.67549,0.77089,0.70203,0.86249,5.19612e-05,5.19612e-05,5.19612e-05
70,10802.8,0.73041,0.55291,0.8606,0.83148,0.81661,0.83413,0.67574,0.76183,0.68442,0.86087,5.03871e-05,5.03871e-05,5.03871e-05
71,10957.3,0.7293,0.54997,0.85994,0.90972,0.75209,0.8395,0.67669,0.76214,0.69384,0.85989,4.8813e-05,4.8813e-05,4.8813e-05
72,11111.5,0.73419,0.54559,0.86209,0.87961,0.77367,0.84889,0.68939,0.76327,0.70577,0.86078,4.72389e-05,4.72389e-05,4.72389e-05
73,11266.2,0.72264,0.54172,0.86285,0.88791,0.77363,0.83721,0.67641,0.76476,0.71812,0.86088,4.56648e-05,4.56648e-05,4.56648e-05
74,11420.9,0.73104,0.53846,0.86388,0.8968,0.75719,0.84818,0.69064,0.76315,0.71074,0.85999,4.40907e-05,4.40907e-05,4.40907e-05
75,11575.6,0.71963,0.52908,0.85857,0.86155,0.78674,0.84337,0.68736,0.7632,0.7087,0.86011,4.25166e-05,4.25166e-05,4.25166e-05
76,11729.7,0.7204,0.5292,0.86119,0.90184,0.75957,0.84424,0.68602,0.76081,0.69864,0.86025,4.09425e-05,4.09425e-05,4.09425e-05
77,11883.7,0.7225,0.52593,0.86238,0.86991,0.76833,0.84413,0.68991,0.76233,0.69859,0.86036,3.93684e-05,3.93684e-05,3.93684e-05
78,12038.3,0.72063,0.52287,0.86283,0.85601,0.79015,0.85026,0.69573,0.75978,0.70409,0.86051,3.77943e-05,3.77943e-05,3.77943e-05
79,12193.1,0.71191,0.51383,0.86024,0.86359,0.78786,0.84911,0.69284,0.75977,0.6993,0.86099,3.62202e-05,3.62202e-05,3.62202e-05
80,12347.8,0.70917,0.51337,0.85411,0.85613,0.79515,0.84657,0.69548,0.75763,0.70608,0.86008,3.46461e-05,3.46461e-05,3.46461e-05
81,12502.5,0.71245,0.51377,0.85749,0.85785,0.79828,0.84378,0.68914,0.76026,0.70495,0.85974,3.3072e-05,3.3072e-05,3.3072e-05
82,12656.6,0.7072,0.51074,0.85548,0.86368,0.79325,0.82817,0.67543,0.76015,0.70798,0.85976,3.14979e-05,3.14979e-05,3.14979e-05
83,12810.9,0.70894,0.50944,0.85831,0.8542,0.78312,0.8447,0.69439,0.76058,0.70692,0.86006,2.99238e-05,2.99238e-05,2.99238e-05
84,12964.6,0.7085,0.50256,0.85797,0.8695,0.78269,0.82963,0.67794,0.76307,0.70519,0.86072,2.83497e-05,2.83497e-05,2.83497e-05
85,13119.1,0.70394,0.50702,0.85432,0.87614,0.78221,0.84882,0.69703,0.76321,0.69532,0.86037,2.67756e-05,2.67756e-05,2.67756e-05
86,13273.9,0.70134,0.50319,0.85378,0.87094,0.7764,0.84504,0.69283,0.76312,0.69547,0.86008,2.52015e-05,2.5











































































































































.02015e-05,2.52015e-05
87,13427.7,0.70278,0.50105,0.85684,0.87208,0.78496,0.84665,0.69522,0.7619,0.70126,0.8606,2.36274e-05,2.36274e-05,2.36274e-05
88,13581.9,0.70144,0.49737,0.85774,0.87361,0.79831,0.84987,0.6942,0.76262,0.69717,0.86059,2.20533e-05,2.20533e-05,2.20533e-05
89,13736.5,0.69995,0.49625,0.85493,0.85398,0.7907,0.84679,0.69507,0.76259,0.69911,0.86068,2.04792e-05,2.04792e-05,2.04792e-05
90,13890.7,0.69972,0.49608,0.85371,0.84768,0.80432,0.84845,0.69689,0.76198,0.69991,0.86057,1.89051e-05,1.89051e-05,1.89051e-05
91,14032.9,0.69526,0.46078,0.85089,0.87621,0.77636,0.83761,0.68465,0.7687,0.71938,0.86084,1.7331e-05,1.7331e-05,1.7331e-05
92,14174.6,0.68999,0.44826,0.84907,0.90735,0.76635,0.83812,0.68604,0.77013,0.72109,0.86135,1.57569e-05,1.57569e-05,1.57569e-05
93,14315.8,0.68969,0.4467,0.85051,0.90864,0.76516,0.82831,0.67674,0.76884,0.72487,0.86145,1.41828e-05,1.41828e-05,1.41828e-05
94,14457.7,0.68591,0.44048,0.84588,0.84377,0.79778,0.83448,0.68046,0.76574,0.71851,0.86159,1.26087e-05,1.26087e-05,1.26087e-05
95,14599.3,0.68757,0.44448,0.84882,0.86165,0.79033,0.83493,0.68049,0.76505,0.71559,0.86198,1.10346e-05,1.10346e-05,1.10346e-05
96,14741.7,0.6858,0.4355,0.84528,0.87927,0.79038,0.83537,0.6804,0.7648,0.70936,0.86196,9.4605e-06,9.4605e-06,9.4605e-06
97,14883.2,0.68415,0.4355,0.84738,0.87594,0.79186,0.83586,0.68336,0.7635,0.7066,0.86154,7.8864e-06,7.8864e-06,7.8864e-06
98,15025.3,0.68116,0.43106,0.85091,0.88615,0.78963,0.83875,0.68149,0.76284,0.70803,0.86144,6.3123e-06,6.3123e-06,6.3123e-06
99,15167.1,0.679,0.43137,0.84705,0.88799,0.79063,0.83878,0.68156,0.76378,0.70766,0.86153,4.7382e-06,4.7382e-06,4.7382e-06
100,15309.1,0.67644,0.43076,0.8455,0.88953,0.78877,0.83887,0.68223,0.76323,0.70781,0.86148,3.1641e-06,3.1641e-06,3.1641e-06
