epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,23156.3,0.77892,0.54424,1.02436,0.92459,0.84232,0.88331,0.70186,0.85011,0.58193,1.05819,0.000374383,0.000374383,0.000374383
119,23352.3,0.77097,0.54697,1.02124,0.92882,0.83787,0.88466,0.70031,0.84875,0.57975,1.0562,0.000366899,0.000366899,0.000366899
120,23548.5,0.76742,0.53538,1.01991,0.92408,0.84033,0.88342,0.70041,0.84903,0.58245,1.05602,0.00035945,0.00035945,0.00035945
121,23744.6,0.77593,0.53369,1.0222,0.93064,0.82842,0.88483,0.70336,0.84813,0.58623,1.05466,0.000352037,0.000352037,0.000352037
122,23940.9,0.76089,0.5393,1.01385,0.94079,0.83378,0.88602,0.7065,0.84609,0.58457,1.05411,0.000344661,0.000344661,0.000344661
123,24137.1,0.76878,0.53889,1.01856,0.93614,0.83345,0.88532,0.70442,0.848,0.58475,1.05582,0.000337325,0.000337325,0.000337325
124,24333.7,0.7656,0.53872,1.01943,0.93544,0.83376,0.88541,0.70613,0.84624,0.58321,1.05437,0.00033003,0.00033003,0.00033003
125,24530.4,0.75599,0.53439,1.01407,0.93906,0.83232,0.88085,0.70234,0.84468,0.58085,1.05327,0.000322778,0.000322778,0.000322778
126,24726.8,0.75648,0.52852,1.00831,0.93699,0.83716,0.88064,0.70289,0.84544,0.58228,1.05334,0.000315572,0.000315572,0.000315572
127,24923.9,0.7523,0.52209,1.00762,0.93945,0.83545,0.88067,0.70374,0.84454,0.5821,1.0531,0.000308412,0.000308412,0.000308412
128,25120.1,0.75316,0.52636,1.01593,0.93913,0.83559,0.88102,0.70308,0.84416,0.58116,1.05277,0.0003013,0.0003013,0.0003013
129,25316.4,0.75143,0.51304,1.00987,0.93795,0.8341,0.88058,0.70359,0.84246,0.57976,1.05253,0.000294239,0.000294239,0.000294239
130,25512.8,0.74948,0.52219,1.01062,0.93954,0.83513,0.88073,0.70716,0.8404,0.58025,1.05232,0.00028723,0.00028723,0.00028723
131,25709,0.75028,0.51934,1.00655,0.9418,0.82625,0.87991,0.7067,0.83876,0.58185,1.05106,0.000280275,0.000280275,0.000280275
132,25905.3,0.74359,0.51047,1.01209,0.94104,0.82786,0.87991,0.7074,0.83848,0.58344,1.05076,0.000273375,0.000273375,0.000273375
133,26101.1,0.74475,0.51909,1.00445,0.94125,0.82779,0.87982,0.70621,0.83893,0.58831,1.05081,0.000266532,0.000266532,0.000266532
134,26297.5,0.74753,0.5226,1.00977,0.9398,0.8275,0.87898,0.70765,0.83979,0.58892,1.05151,0.000259748,0.000259748,0.000259748
135,26493.7,0.73974,0.51018,1.00421,0.93685,0.82927,0.87977,0.70594,0.84114,0.59051,1.05151,0.000253024,0.000253024,0.000253024
136,26690.1,0.74154,0.51469,1.0071,0.93486,0.82981,0.88056,0.70721,0.8406,0.58855,1.05141,0.000246363,0.000246363,0.000246363
137,26886.6,0.74072,0.50864,1.00409,0.93682,0.82923,0.8812,0.70797,0.84128,0.5876,1.05184,0.000239766,0.000239766,0.000239766
138,27082.9,0.73976,0.51073,1.00405,0.93704,0.82935,0.88519,0.71133,0.84277,0.58616,1.05214,0.000233234,0.000233234,0.000233234
139,27279.4,0.73222,0.50176,1.00497,0.93652,0.82908,0.88397,0.70967,0.84255,0.58355,1.05185,0.000226769,0.000226769,0.000226769
140,27475.8,0.7365,0.51439,1.00352,0.93724,0.82854,0.88319,0.70801,0.84247,0.58417,1.05173,0.000220372,0.000220372,0.000220372
141,27672,0.72763,0.49905,0.99793,0.93677,0.82904,0.88316,0.70771,0.84207,0.58177,1.05136,0.000214046,0.000214046,0.000214046
142,27868.3,0.72994,0.49521,0.99922,0.93545,0.82918,0.8841,0.70942,0.842,0.58092,1.05097,0.000207792,0.000207792,0.000207792
143,28064.4,0.72097,0.49883,0.99419,0.93641,0.83026,0.88334,0.70871,0.84074,0.57833,1.04996,0.000201611,0.000201611,0.000201611
144,28260.4,0.72031,0.49342,0.99534,0.93879,0.82877,0.88371,0.70817,0.84092,0.57825,1.04954,0.000195505,0.000195505,0.000195505
145,28456.5,0.715,0.48674,0.99086,0.93843,0.82969,0.88369,0.70861,0.84019,0.57503,1.04938,0.000189475,0.000189475,0.000189475
146,28652.7,0.72353,0.50297,1.00133,0.93855,0.82991,0.88351,0.70833,0.84017,0.57385,1.04929,0.000183523,0.000183523,0.000183523
147,28848.8,0.7246,0.497,0.99726,0.9384,0.82951,0.88399,0.71027,0.8404,0.57388,1.04953,0.000177651,0.000177651,0.000177651
148,29045.1,0.71539,0.49018,0.9917,0.94083,0.82773,0.88477,0.71135,0.84041,0.57265,1.04989,0.000171859,0.000171859,0.000171859
149,29242.4,0.71886,0.49267,0.99117,0.91783,0.84464,0.88507,0.71049,0.83998,0.57055,1.04954,0.000166149,0.000166149,0.000166149
150,29438.6,0.71267,0.49159,0.99434,0.91774,0.84502,0.88521,0.71209,0.84012,0.56924,1.04949,0.000160523,0.000160523,0.000160523
151,29635.1,0.71667,0.48825,0.99394,0.91937,0.84527,0.88478,0.71306,0.84002,0.56715,1.04897,0.000154982,0.000154982,0.000154982
152,29833.1,0.70916,0.48561,0.98704,0.92214,0.84532,0.88504,0.71219,0.83945,0.56728,1.04854,0.000149527,0.000149527,0.000149527
153,30029.4,0.71549,0.49671,0.99486,0.92013,0.84777,0.88397,0.71185,0.83989,0.56691,1.04863,0.000144161,0.000144161,0.000144161
154,30225.6,0.70622,0.48466,0.99159,0.91164,0.84764,0.88318,0.71139,0.83951,0.56701,1.0485,0.000138883,0.000138883,0.000138883
155,30421.7,0.70511,0.47324,0.98967,0.90069,0.84961,0.88317,0.71083,0.83897,0.56742,1.04849,0.000133695,0.000133695,0.000133695
156,30618.1,0.70458,0.47797,0.99448,0.89754,0.84979,0.88308,0.71104,0.83989,0.56698,1.04906,0.000128599,0.000128599,0.000128599
157,30814.2,0.69794,0.47678,0.98721,0.88854,0.85275,0.88278,0.71127,0.83959,0.56753,1.04864,0.000123596,0.000123596,0.000123596
158,31010.6,0.69724,0.47047,0.98636,0.88647,0.85901,0.88285,0.70958,0.83863,0.56748,1.04828,0.000118687,0.000118687,0.000118687
159,31207.2,0.70259,0.4711,0.98244,0.88767,0.85832,0.88318,0.70881,0.83844,0.56625,1.04837,0.000113873,0.000113873,0.000113873
160,31403.5,0.70202,0.47573,0.9877,0.8865,0.86056,0.88286,0.70923,0.8394,0.56611,1.04854,0.000109156,0.000109156,0.000109156
161,31599.5,0.69604,0.47623,0.98472,0.88907,0.86068,0.88383,0.70963,0.83968,0.56677,1.04857,0.000104537,0.000104537,0.000104537
162,31795.7,0.6915,0.46405,0.98149,0.89367,0.85933,0.88376,0.70974,0.84016,0.5666,1.04881,0.000100016,0.000100016,0.000100016
163,31991.9,0.69777,0.4704,0.98532,0.89884,0.8602,0.88389,0.70907,0.84048,0.56654,1.04887,9.55951e-05,9.55951e-05,9.55951e-05
164,32187.9,0.6939,0.47009,0.98153,0.89908,0.86017,0.88379,0.70923,0.84095,0.56639,1.04916,9.12754e-05,9.12754e-05,9.12754e-05
165,32384.2,0.69792,0.47519,0.98181,0.90219,0.85866,0.88376,0.70888,0.84129,0.56607,1.04923,8.70577e-05,8.70577e-05,8.70577e-05
166,32580.2,0.68623,0.46121,0.98299,0.90156,0.85913,0.88411,0.70944,0.84128,0.56581,1.04916,8.29431e-05,8.29431e-05,8.29431e-05
167,32776.2,0.69222,0.47259,0.98271,0.90039,0.8592,0.88394,0.71064,0.84164,0.56603,1.04921,7.89327e-05,7.89327e-05,7.89327e-05
168,32972,0.69112,0.46057,0.9799,0.90167,0.859,0.88379,0.70925,0.842,0.56597,1.04903,7.50274e-05,7.50274e-05,7.50274e-05
169,33168.3,0.69311,0.46755,0.98137,0.90217,0.85837,0.88401,0.71047,0.84189,0.5653,1.04926,7.12282e-05,7.12282e-05,7.12282e-05
170,33364.4,0.68901,0.46294,0.97972,0.90121,0.85847,0.88394,0.70992,0.84154,0.56461,1.0491,6.7536e-05,6.7536e-05,6.7536e-05
171,33560.2,0.68721,0.46633,0.97738,0.89989,0.85916,0.88417,0.71011,0.84198,0.56387,1.04921,6.39518e-05,6.39518e-05,6.39518e-05
172,33756.5,0.68447,0.4589,0.97773,0.89903,0.85722,0.88503,0.71087,0.84167,0.56408,1.04915,6.04763e-05,6.04763e-05,6.04763e-05
173,33952.6,0.68596,0.4677,0.97685,0.90492,0.85537,0.8854,0.7107,0.84206,0.56478,1.04936,5.71106e-05,5.71106e-05,5.71106e-05
174,34148.8,0.68274,0.46117,0.9769,0.90479,0.85549,0.88491,0.70905,0.84252,0.56473,1.0495,5.38554e-05,5.38554e-05,5.38554e-05
175,34345.1,0.68692,0.46565,0.9788,0.90608,0.85525,0.8849,0.70867,0.84231,0.56253,1.04956,5.07115e-05,5.07115e-05,5.07115e-05
176,34541.4,0.68614,0.46323,0.97902,0.90573,0.85542,0.88499,0.70926,0.8423,0.56357,1.04942,4.76796e-05,4.76796e-05,4.76796e-05
177,34738.5,0.68327,0.46944,0.97548,0.90694,0.85456,0.88496,0.70972,0.84235,0.56326,1.04958,4.47606e-05,4.47606e-05,4.47606e-05
178,34934.4,0.68155,0.45863,0.97958,0.90972,0.85314,0.88485,0.70978,0.84226,0.56229,1.04964,4.19552e-05,4.19552e-05,4.19552e-05
179,35131,0.67846,0.45223,0.96897,0.91083,0.85325,0.88495,0.70989,0.84223,0.56324,1.04965,3.9264e-05,3.9264e-05,3.9264e-05
180,35326.9,0.68363,0.45658,0.97964,0.91244,0.8525,0.88477,0.71007,0.84248,0.56303,1.04976,3.66877e-05,3.66877e-05,3.66877e-05
181,35524,0.61739,0.36846,0.95065,0.91439,0.85164,0.88485,0.70932,0.8424,0.56296,1.04985,3.4227e-05,3.4227e-05,3.4227e-05
